profile,trial,nominal_context_tokens,actual_prompt_tokens,method,samples,client_ttft_seconds,client_tokens_per_second,server_validation_samples,server_tokens_per_second
control-mtp0,1,8192,8198,scout_only,1,0.823,9955.0,0,
control-mtp0,1,32768,32314,integrated_scout,1,2.864,11283.0,0,
control-mtp0,1,65536,64492,scout_only,1,5.75,11216.0,0,
control-mtp0,1,131072,128852,integrated_scout,1,11.63,11079.0,0,
control-mtp0,2,8192,8196,scout_only,1,0.746,10981.0,0,
control-mtp0,2,32768,32312,integrated_scout,1,2.867,11271.0,0,
control-mtp0,2,65536,64490,scout_only,1,5.753,11209.0,0,
control-mtp0,2,131072,128850,integrated_scout,1,11.643,11067.0,0,
candidate-mtp0,1,8192,8197,scout_only,1,0.817,10036.0,0,
candidate-mtp0,1,32768,32313,integrated_scout,1,2.889,11185.0,0,
candidate-mtp0,1,65536,64491,scout_only,1,5.817,11087.0,0,
candidate-mtp0,1,131072,128851,integrated_scout,1,11.758,10958.0,0,
candidate-mtp0,2,8192,8197,scout_only,1,0.759,10800.0,0,
candidate-mtp0,2,32768,32313,integrated_scout,1,2.888,11189.0,0,
candidate-mtp0,2,65536,64491,scout_only,1,5.784,11151.0,0,
candidate-mtp0,2,131072,128851,integrated_scout,1,11.747,10969.0,0,
candidate-mtp3,1,8192,8196,scout_only,1,0.789,10391.0,0,
candidate-mtp3,1,32768,32312,integrated_scout,1,2.977,10854.0,0,
candidate-mtp3,1,65536,64490,scout_only,1,5.979,10786.0,0,
candidate-mtp3,1,131072,128850,integrated_scout,1,12.215,10548.0,0,
candidate-mtp3,2,8192,8197,scout_only,1,0.848,9670.0,0,
candidate-mtp3,2,32768,32313,integrated_scout,1,2.985,10824.0,0,
candidate-mtp3,2,65536,64491,scout_only,1,5.973,10798.0,0,
candidate-mtp3,2,131072,128851,integrated_scout,1,12.149,10606.0,0,
candidate-dflash2,1,8192,8196,scout_only,1,0.846,9692.0,0,
candidate-dflash2,1,32768,32312,integrated_scout,1,2.919,11070.0,0,
candidate-dflash2,1,65536,64490,scout_only,1,5.863,11000.0,0,
candidate-dflash2,1,131072,128850,integrated_scout,1,11.915,10814.0,0,
candidate-dflash2,2,8192,8197,scout_only,1,0.839,9771.0,0,
candidate-dflash2,2,32768,32313,integrated_scout,1,2.918,11075.0,0,
candidate-dflash2,2,65536,64491,scout_only,1,5.841,11041.0,0,
candidate-dflash2,2,131072,128851,integrated_scout,1,11.868,10857.0,0,
